country,Timestamp,GHI,DNI,DHI,RH,WS
benin,2021-10-25,105.32458,11.367228,99.80273,87.57556,2.6191876
benin,2021-10-26,189.67134,82.09627,129.36873,86.23901,1.2848592
benin,2021-10-27,110.932236,19.033075,104.35439,89.989586,1.466784
benin,2021-10-28,244.96507,171.31721,107.133286,87.48895,1.8609773
benin,2021-10-29,250.58861,223.09894,95.422745,81.60564,1.6284506
benin,2021-10-30,58.282997,2.368728,57.05404,93.81518,1.6973296
benin,2021-10-31,205.7295,109.69061,111.66664,91.47239,1.4505255
benin,2021-11-01,184.03549,69.06562,118.712975,92.29317,1.2679218
benin,2021-11-02,134.39467,25.186455,114.02976,92.55663,1.199158
benin,2021-11-03,293.0874,215.05577,119.753426,81.78607,1.1977385
benin,2021-11-04,259.09277,158.56519,136.40823,78.81751,1.8450071
benin,2021-11-05,133.12637,43.999004,111.804634,84.68517,1.2853885
benin,2021-11-06,155.0719,19.230986,140.59492,83.82436,0.9376057
benin,2021-11-07,246.84181,187.66249,96.25141,83.16855,1.4943583
benin,2021-11-08,254.14252,141.05078,125.7744,85.595146,1.5206847
benin,2021-11-09,132.71378,8.921306,125.48278,91.19361,0.8810617
benin,2021-11-10,97.36423,5.417887,94.62106,93.78937,1.0682395
benin,2021-11-11,313.49075,304.87576,72.30474,82.22175,0.96131384
benin,2021-11-12,127.41842,8.790442,121.10351,87.682434,1.718482
benin,2021-11-13,247.33403,127.395004,133.4576,84.7219,1.2770423
benin,2021-11-14,214.61182,111.49692,130.97293,79.93979,1.647063
benin,2021-11-15,236.15958,118.59495,139.04007,84.56365,1.8734736
benin,2021-11-16,178.09853,27.04471,157.57639,78.76727,2.0780659
benin,2021-11-17,216.32127,80.606316,148.86018,82.18244,1.8071629
benin,2021-11-18,263.93344,156.84846,135.97577,79.38635,2.3404596
benin,2021-11-19,147.46396,35.780193,128.31673,85.46662,2.060602
benin,2021-11-20,287.4981,218.27171,115.06575,80.33655,1.5505241
benin,2021-11-21,80.378395,2.5380473,77.63554,89.89942,2.017875
benin,2021-11-22,200.90086,81.64872,138.18849,81.3816,1.3928977
benin,2021-11-23,291.4203,284.92712,82.25659,78.70063,1.7387798
benin,2021-11-24,133.46674,44.437195,100.585266,90.01972,1.6368421
benin,2021-11-25,220.97644,114.27818,129.51707,82.17308,1.3547553
